timestamp,station_code,city,uf,temperatura,umidade,precipitacao,vento_kmh
2024-01-01T00:00:00,A001,Brasília,DF,22.0,79.0,0.0,5.4
2024-01-01T01:00:00,A001,Brasília,DF,21.2,85.0,0.0,5.4
2024-01-01T02:00:00,A001,Brasília,DF,20.9,88.0,0.0,3.96
2024-01-01T03:00:00,A001,Brasília,DF,20.9,85.0,0.0,5.4
2024-01-01T04:00:00,A001,Brasília,DF,20.5,89.0,0.0,7.2
2024-01-01T05:00:00,A001,Brasília,DF,20.4,91.0,0.0,5.4
2024-01-01T06:00:00,A001,Brasília,DF,19.6,94.0,0.0,3.96
2024-01-01T07:00:00,A001,Brasília,DF,20.0,94.0,0.0,5.04
2024-01-01T08:00:00,A001,Brasília,DF,20.1,94.0,0.0,4.32
2024-01-01T09:00:00,A001,Brasília,DF,19.6,95.0,0.0,3.96
2024-01-01T10:00:00,A001,Brasília,DF,20.6,91.0,0.0,6.48
2024-01-01T11:00:00,A001,Brasília,DF,21.5,83.0,0.0,7.56
2024-01-01T12:00:00,A001,Brasília,DF,22.6,75.0,0.0,6.48
2024-01-01T13:00:00,A001,Brasília,DF,23.3,71.0,0.0,7.92
2024-01-01T14:00:00,A001,Brasília,DF,25.3,63.0,0.0,8.28
2024-01-01T15:00:00,A001,Brasília,DF,26.3,56.0,0.0,6.12
2024-01-01T16:00:00,A001,Brasília,DF,26.2,59.0,0.0,5.76
2024-01-01T17:00:00,A001,Brasília,DF,22.1,87.0,2.6,5.4
2024-01-01T18:00:00,A001,Brasília,DF,22.9,82.0,3.0,5.04
2024-01-01T19:00:00,A001,Brasília,DF,25.8,63.0,0.0,5.76
2024-01-01T20:00:00,A001,Brasília,DF,25.0,69.0,0.0,7.2
2024-01-01T21:00:00,A001,Brasília,DF,20.3,96.0,18.0,7.92
2024-01-01T22:00:00,A001,Brasília,DF,20.3,96.0,9.4,7.92
2024-01-01T23:00:00,A001,Brasília,DF,20.5,96.0,2.6,5.4
2024-01-02T00:00:00,A001,Brasília,DF,20.2,96.0,0.2,6.48
2024-01-02T01:00:00,A001,Brasília,DF,20.3,96.0,0.0,5.04
2024-01-02T02:00:00,A001,Brasília,DF,20.3,96.0,1.0,7.2
2024-01-02T03:00:00,A001,Brasília,DF,20.2,97.0,3.4,5.76
2024-01-02T04:00:00,A001,Brasília,DF,19.9,97.0,0.0,5.4
2024-01-02T05:00:00,A001,Brasília,DF,19.4,97.0,0.6,4.68
2024-01-02T06:00:00,A001,Brasília,DF,19.4,96.0,0.4,2.88
2024-01-02T07:00:00,A001,Brasília,DF,19.4,97.0,1.4,2.16
2024-01-02T08:00:00,A001,Brasília,DF,19.4,97.0,0.6,3.24
2024-01-02T09:00:00,A001,Brasília,DF,19.4,97.0,0.0,3.24
2024-01-02T10:00:00,A001,Brasília,DF,19.8,96.0,0.2,5.4
2024-01-02T11:00:00,A001,Brasília,DF,20.0,95.0,0.6,6.48
2024-01-02T12:00:00,A001,Brasília,DF,20.5,95.0,0.6,10.8
2024-01-02T13:00:00,A001,Brasília,DF,20.5,94.0,0.4,9.72
2024-01-02T14:00:00,A001,Brasília,DF,22.2,87.0,0.2,10.44
2024-01-02T15:00:00,A001,Brasília,DF,24.1,77.0,0.0,12.6
2024-01-02T16:00:00,A001,Brasília,DF,26.4,67.0,0.0,6.84
2024-01-02T17:00:00,A001,Brasília,DF,24.0,76.0,0.0,7.2
2024-01-02T18:00:00,A001,Brasília,DF,24.8,76.0,1.4,5.4
2024-01-02T19:00:00,A001,Brasília,DF,22.2,91.0,3.4,7.56
2024-01-02T20:00:00,A001,Brasília,DF,22.8,83.0,0.2,6.48
2024-01-02T21:00:00,A001,Brasília,DF,22.0,90.0,0.0,11.16
2024-01-02T22:00:00,A001,Brasília,DF,21.2,95.0,0.8,5.76
2024-01-02T23:00:00,A001,Brasília,DF,20.1,96.0,7.8,2.52
2024-01-03T00:00:00,A001,Brasília,DF,20.4,97.0,2.6,3.24
2024-01-03T01:00:00,A001,Brasília,DF,20.8,96.0,0.2,4.68
2024-01-03T02:00:00,A001,Brasília,DF,20.7,96.0,0.0,7.92
2024-01-03T03:00:00,A001,Brasília,DF,19.6,97.0,8.0,9.72
